date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:12	1453424/1453424	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:16:14%20GMT	https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1	C:/My%20Web%20Sites/shopify/www.shopify.com/editions/winter2026a55d.html	(from )
22:46:13	1001/1001	---MCZ	200	added ('OK')	text/plain	date:Sat,%2022%20Aug%202026%2017:16:15%20GMT	https://www.shopify.com/robots.txt		(from )
22:46:13	129725/129725	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202026%2019:54:59%20GMT	https://cdn.shopify.com/oxygen-v2/47215/49013/102837/4097382/assets/tailwind-G-N6aznT.css	C:/My%20Web%20Sites/shopify/cdn.shopify.com/oxygen-v2/47215/49013/102837/4097382/assets/tailwind-G-N6aznT.css	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:13	1248061/1248061	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Aug%202026%2011:58:46%20GMT	https://cdn.shopify.com/s/files/1/0951/3130/4218/files/share.png?v=1765212809	C:/My%20Web%20Sites/shopify/cdn.shopify.com/s/files/1/0951/3130/4218/files/sharecdad.png	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:13	978/978	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Aug%202026%2008:01:15%20GMT	https://cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_16.png?v=1760634627	C:/My%20Web%20Sites/shopify/cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_16ad0c.png	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:13	2603/2603	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2007:27:49%20GMT	https://cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_32.png?v=1760634627	C:/My%20Web%20Sites/shopify/cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_32ad0c.png	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:14	62871/62871	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Aug%202026%2014:54:57%20GMT	https://cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_256.png?v=1760634627	C:/My%20Web%20Sites/shopify/cdn.shopify.com/s/files/1/0951/3130/4218/files/favicon_256ad0c.png	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:14	1453150/1453150	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2016:43:17%20GMT	https://www.shopify.com/editions/winter2026	C:/My%20Web%20Sites/shopify/www.shopify.com/editions/winter2026.html	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:14	1055/1055	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202026%2016:41:30%20GMT	https://cdn.shopify.com/oxygen-v2/47215/49013/102837/4097382/assets/fonts-latin-CzfLCQn_.css	C:/My%20Web%20Sites/shopify/cdn.shopify.com/oxygen-v2/47215/49013/102837/4097382/assets/fonts-latin-CzfLCQn_.css	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:15	12365/12365	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202026%2003:22:31%20GMT	https://cdn.shopify.com/s/files/1/0647/5176/3550/files/fav-180.png?v=1780498479	C:/My%20Web%20Sites/shopify/cdn.shopify.com/s/files/1/0647/5176/3550/files/fav-1801bc8.png	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:15	937555/937555	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:14:46%20GMT	https://www.shopify.com/editions/spring2026	C:/My%20Web%20Sites/shopify/www.shopify.com/editions/spring2026.html	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
22:46:17	1244297/1244297	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202026%2017:16:19%20GMT	https://www.shopify.com/editions/summer2025	C:/My%20Web%20Sites/shopify/www.shopify.com/editions/summer2025.html	(from https://www.shopify.com/editions/winter2026?utm_source=newsroom&utm_medium=newsroom&utm_campaign=winter26edition-launch_Q425BACADO&utm_content=merchantnewsroom-en-US-v1)
